iter	RMSE
0	1.978433631
1	1.951646038
2	1.924349007
3	1.909033187
4	1.889243178
5	1.867765078
6	1.850122372
7	1.837592465
8	1.825348321
9	1.814140909
10	1.800253715
11	1.791434763
12	1.779839168
13	1.771803434
14	1.761423147
15	1.752241346
16	1.744736774
17	1.739193361
18	1.732473173
19	1.723897022
20	1.719736273
21	1.711755715
22	1.703149888
23	1.696899841
24	1.689723915
25	1.683658562
26	1.67532762
27	1.66866023
28	1.661558274
29	1.657247513
30	1.652903425
31	1.647140173
32	1.641407202
33	1.636246133
34	1.62996066
35	1.623584793
36	1.617827014
37	1.614961608
38	1.610308772
39	1.605000246
40	1.597666881
41	1.592486337
42	1.587903274
43	1.581121093
44	1.578588427
45	1.572247323
46	1.569328417
47	1.565235727
48	1.558594922
49	1.554840349
50	1.551250643
51	1.546872873
52	1.543925758
53	1.538712853
54	1.535024702
55	1.528357501
56	1.525336905
57	1.520639704
58	1.517916585
59	1.513332184
60	1.509711145
61	1.506581631
62	1.502926864
63	1.49589353
64	1.492655228
65	1.49068277
66	1.489462441
67	1.486603632
68	1.485393545
69	1.478573187
70	1.475400336
71	1.47155833
72	1.469080607
73	1.464059868
74	1.460466124
75	1.456476013
76	1.450530452
77	1.445405785
78	1.441799791
79	1.439795397
80	1.435042331
81	1.430836864
82	1.427921814
83	1.424844181
84	1.420097144
85	1.417672276
86	1.414757221
87	1.409452409
88	1.407508916
89	1.405741199
90	1.401531432
91	1.396984049
92	1.39511351
93	1.390230688
94	1.387198336
95	1.381958756
96	1.379016338
97	1.377119539
98	1.375048527
99	1.371033204
