iter	Passed	Remaining
0	1	135
1	2	118
2	3	113
3	4	106
4	5	109
5	7	122
6	9	119
7	10	117
8	11	113
9	12	110
10	13	109
11	14	106
12	15	104
13	16	102
14	17	100
15	18	99
16	20	98
17	21	98
18	23	98
19	24	97
20	25	95
21	26	94
22	27	92
23	28	90
24	29	89
25	30	87
26	31	86
27	32	84
28	34	83
29	35	82
30	36	81
31	38	80
32	39	80
33	40	79
34	42	78
35	43	76
36	43	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	51	67
43	52	67
44	54	66
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	65	53
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	39
67	81	38
68	82	37
69	84	36
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	95	25
79	96	24
80	98	22
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
